transaction_id,timestamp,customer_id,customer_age,merchant_id,merchant_name,merchant_category,country,ip_country,currency,payment_method,device_type,amount,risk_score,status,fee_amount,net_revenue,chargeback_loss_est,ip_country_missing,device_type_missing,merchant_category_missing,payment_method_missing,risk_score_missing,customer_age_missing,country_mismatch
1,2024-03-06 03:40:36,148443,64.0,22559,Merchant_22559,travel,US,US,USD,card,android,54.68,9.0,refunded,1.75,0.0,0.0,0,0,0,0,0,0,0
2,2025-07-18 23:42:35,126543,57.0,27145,Merchant_27145,saas,DE,DE,USD,card,web,26.49,8.0,captured,0.61,0.61,0.0,0,0,0,0,0,0,0
3,2025-04-22 20:05:34,152965,68.0,20127,Merchant_20127,travel,TR,TR,TR Y,card,android,831.49,14.0,captured,15.84,15.84,0.0,0,0,0,0,1,0,0
4,2024-11-16 09:09:00,172507,43.0,26118,Merchant_26118,saas,TR,TR,TRY,card,android,422.15,15.0,captured,4.1,4.1,0.0,1,0,0,0,0,0,0
5,2024-11-12 02:25:36,168268,56.0,29368,Merchant_29368,saas,ES,ES,USD,card,ios,33.79,15.0,captured,0.54,0.54,0.0,0,0,0,0,0,0,0
6,2025-09-18 18:38:07,116989,27.0,28801,Merchant_28801,travel,TR,TR,TRY,card,ios,4991.89,30.0,captured,124.77,124.77,0.0,0,0,0,0,0,0,0
7,2024-03-03 17:46:03,193813,59.0,23692,Merchant_23692,ecommerce,ES,ES,USD,card,ios,29.98,5.0,captured,0.6,0.6,0.0,1,0,0,0,0,0,0
8,2025-05-24 01:53:16,128474,50.0,28546,Merchant_28546,travel,FR,FR,USD,unknown,android,24.95,11.0,captured,0.41,0.41,0.0,0,0,0,1,0,0,0
9,2024-05-27 01:44:46,181996,24.0,22376,Merchant_22376,ecommerce,DE,DE,GBP,card,ios,18.28,10.0,captured,0.47,0.47,0.0,0,0,0,0,0,0,0
10,2024-03-09 17:59:13,131181,69.0,22411,Merchant_22411,saas,TR,US,TRY,card,unknown,337.43,15.0,refunded,7.47,0.0,0.0,0,1,0,0,0,0,1
11,2025-01-19 07:54:42,106340,60.0,23434,Merchant_23434,food_delivery,IT,IT,EUR,unknown,android,72.62,11.0,captured,1.09,1.09,0.0,0,0,0,1,0,0,0
12,2025-12-13 04:54:12,199642,43.0,20176,Merchant_20176,travel,IT,ES,EUR,card,android,59.85,8.0,captured,1.83,1.83,0.0,0,0,0,0,0,0,1
13,2025-06-21 02:22:53,158877,33.0,22655,Merchant_22655,saas,FR,FR,USD,bank_transfer,unknown,39.36,12.0,captured,0.86,0.86,0.0,0,1,0,0,0,0,0
14,2025-07-09 15:10:03,121457,47.0,28543,Merchant_28543,saas,FR,FR,USD,card,ios,58.37,12.0,captured,1.07,1.07,0.0,0,0,0,0,1,0,0
15,2025-06-07 18:12:06,100032,57.0,27623,Merchant_27623,ecommerce,US,US,EUR,card,android,25.38,6.0,captured,0.6,0.6,0.0,0,0,0,0,0,0,0
16,2025-07-27 19:50:47,112920,39.0,23290,Merchant_23290,saas,TR,TR,TRY,card,ios,937.32,5.0,captured,24.67,24.67,0.0,0,0,0,0,0,0,0
17,2025-01-09 15:43:46,116988,32.0,23124,Merchant_23124,utilities,ES,ES,USD,card,android,26.37,10.0,captured,0.63,0.63,0.0,0,0,0,0,0,0,0
18,2024-04-03 12:33:03,192568,65.0,23470,Merchant_23470,food_delivery,TR,TR,TRY,wallet,android,1567.9,18.0,captured,48.79,48.79,0.0,1,0,0,0,0,0,0
19,2025-09-05 00:23:20,117700,31.0,21189,Merchant_21189,unknown,US,US,EUR,card,ios,39.54,3.0,captured,0.7,0.7,0.0,0,0,1,0,0,0,0
20,2024-11-24 18:45:41,116192,44.0,21583,Merchant_21583,ecommerce,US,US,EUR,card,ios,44.68,11.0,captured,0.85,0.85,0.0,0,0,0,0,0,1,0
21,2024-12-31 06:09:56,183779,41.0,29926,Merchant_29926,unknown,NL,NL,USD,card,android,23.63,12.0,failed,0.72,0.0,0.0,0,0,1,0,0,0,0
22,2024-09-27 16:22:52,187927,64.0,26929,Merchant_26929,saas,FR,FR,EUR,wallet,android,17.57,8.0,captured,0.3,0.3,0.0,0,0,0,0,0,0,0
